tumour,subsite,setting,line,subgroup,trial,phase,population,intervention,results,comment,pe,pm,rf,extra,link,src,flags
CML,,,,,ASCEMBL,Phase 3,3rd line,Asciminib vs bosutinib,"24 month MMR 25% vs 13%; 
36 mo MMR 34% vs 11%
grade 3 events fewer with asciminib",,,,,,,CML!15,
CML,,,,,Cortes,,"CML, TKI resistant, T315I present",Omacetaxine,PFS 7.7 mos; CCyR 16%;,,,,,,,CML!16,
CML,,,,,STIM-1,,CML on imatinib with undetectable MRD for >=2 years,Stopping imatinib,"RFS 43% at 6 mos, 38% at 60 mos; median time to relapse 2.5 mos; no progressions; Sokal score and duration of imatinib linked to successful TFR",,,,,,,CML!17,
CML,,,,,STOP 2G-TKI study,,"DAS or NIL, ≥3 years TKI with MR4.5 for 2 years (undetectable)",Stopping study,Molecular relapse (loss of MMR) 43% at median 47 mo follow-up (min 12 mo); median time to relapse 4 mo (1-38); no progression,Loss of MR4.5 3 months after stopping TKI predicted later loss of MMR,,,,,,CML!18,
CML,,,,,EURO-SKI,,"MR3>1 year; tki >=3 years,",TKI discontinuation,Molecular relapse free survival at 2 years 50%,,,,,,,CML!19,
CML,,,,,LAST,,"Various TKIs, MR 4.0 after ≥2 years",Stopping study,66% in remission after 12.3 mos median follow up,,,,,,,CML!20,
CML,,,,,ENESTfreedom,Phase 2,frontline nilotinib; MR 4.5 ≥2years NIL,Stopping study,"48 weeks, 51.5% in remission",,,,,,,CML!21,
CML,,,,,JALSG CML212,Phase 3,newly diagnosed; endpoint MR4.5,Da satin in vs nilotinib,"Similar rates MR 4.5, PFS, OS between arms; differences in toxicity",,,,,,,CML!22,
CML,,,,,TIGER,Phase 3,1st line,Nilotinib +/- pegIFN induction+maintenance,Higher molecular response with induction IFN but worse toxicity; 2 year PFS in TFR eligible patients 62 vs 53% with IFN maintenance,,,,,,,CML!23,
Colorectal Cancer,,Neoadjuvant,,,FOxTROT,,CT predidcted T3-4N0-2 colon cancer,OR->oxali based chemo vs pre-op chemo (6 weeks)->OR->18 weeks chemo,"2 year DFS 17 vs 23%, HR 0.72. Lower rates R1/R2 95 vs 89% R0), more downstaging (4% pathCR),",Opens up neoadjuvant chemo as option in locally advanced colon cancer,,,,,,Colorectal Cancer!4,
Colorectal Cancer,,Neoadjuvant,,,RAPIDO,,"high risk rectal (cT4, cN2, extramural invasion, involved mesorectzl fascia, involved lateral nodes)",short course XRT -> CAPOX/FOLFOX->TME vs long course chemorads->TME->CAPOX/FOLFOX,3 year treatment failure 24% vs 30%; 6% difference in distant met rate,,,,,,,Colorectal Cancer!5,
Colorectal Cancer,,Neoadjuvant,,,Cercek et al,,dMMR stage II/III rectal adenoma;,Neoadj Dostarlimab,100% (12/12) complete clinical response; all observed without surgery,Longer follow uo needed to assess duration of response,,,,,,Colorectal Cancer!6,
Colorectal Cancer,,Neoadjuvant,,,NICHE2,,dMMR colon cancer; Safety and 3 year DFS primary endpoints,Ipi x 1 and Nico x 2 neoadjuvant,3% grade 3/4 irAEs; No disease recurrence at 13 months; 94% MPR and 67% path CR,,,,,,,Colorectal Cancer!7,
Colorectal Cancer,,Neoadjuvant,,,PRODIGE 23,,T3 with risk local recurrence or T4;,FOLFIRINOX->chemoRT->TME->folfox vs chemoRT->TME->FOLFOX,"DFS* 66 vs 60 mos, OS 76 vs 72 mos",Restricted mean survival time used instead of DFS for statistical reasonable,,,,,,Colorectal Cancer!8,
Colorectal Cancer,,Neoadjuvant,,,PROSPECT,Phase 3,"Neoadjuvant, T2 N+ or T3, noninferiority phase 3",FOLFOX vs chemoradiation,FOLFOX noninferior for 5 year DFS (81% vs 79%),,,,,,,Colorectal Cancer!9,
Colorectal Cancer,,Adjuvant,,,MOSAIC,,Stage II/III colon,FOLFOX vs FU/LV,DFS 73 vs 67% HR0.80; 6 year OS in stage 3 73 vs 69%; in stage II 6 year OS not different,In general in stage 3 colon cancer there is a 30% RRR in disease recurrence anmd 22-32% improvement in survival,,,,,,Colorectal Cancer!14,
Colorectal Cancer,,Adjuvant,,,IDEA,Meta-analysis,"Resected stage III colon cancer; pooled analysis of 6 RCTs, n=12834",3 vs 6 months adjuvant FOLFOX or CAPOX,"Non-inferiority of 3 mo not confirmed: 3-y DFS HR 1.07 (1.00-1.15); non-inferior for CAPOX (HR 0.95), not FOLFOX (HR 1.16); 5-y OS 82.4 vs 82.8%","T1-3N1: 3-y DFS 83.1 vs 83.3%, 3 mo non-inferior; T4/N2: 6 mo superior (3-y DFS 64.4 vs 62.7%); OS by risk group: T1-3N1 89.6 vs 88.9%, T4/N2 74 vs 72%, HR 1.08; grade 3 neuropathy 13 vs 3% with 6 vs 3 mo; CAPOX seemed better than FOLFOX at 3 mo although not a randomized comparison; upstaging to N2 by adding tumour deposits may guide duration; stage II subset: non-inferiority not shown; final OS update: PMID 33271092",3-y DFS HR 1.07 (95% CI 1.00-1.15); non-inferiority (margin 1.12) not confirmed,29590544,,,,Colorectal Cancer!15,
Colorectal Cancer,,Adjuvant,,,IMPACT,,Dukes B/C colon;,5FU/LV or placebo,3 year OS 83 vs 78%; benefit limited to stage 3 in subgroup analysis,,,,,,,Colorectal Cancer!16,
Colorectal Cancer,,Adjuvant,,,QUASAR,,Colon or rectal (29%) cancer,5FU/LV vs observation,"3-4% benefit in OS in entire population; only trend to benefit in stage 2 patients (HR 0.86 (0.54-1.19), 5 year OS 83.9 vs 81.5%",,,,,,,Colorectal Cancer!17,
Colorectal Cancer,,Adjuvant,,,Meta-analyses stage 2,,"Cancer care Ontario, IMPACT B2, Intergroup analysis, ACCENT collaboration",Adjuvant chemotherapy vs surgery alone,Improved DFS in stage 2 generally but OS difference in most instances not statistically significant; overall OS benefit not expected to be >5%; consider T stage and risk factors,,,,,,,Colorectal Cancer!18,
Colorectal Cancer,,Adjuvant,,,ATOMIC,Phase 3,adjuvant; dMMR,FOLFOX +/- atezolizumab,"3-y DFS 86.3 vs 76.2%, HR 0.50 (0.35-0.73), p<0.001; grade 3/4 AEs 84.1 vs 71.9%",Published NEJM figures differ slightly from the ASCO 2025 presentation (86.4 vs 76.6%),"3-y DFS 86.3 vs 76.2%, HR 0.50 (95% CI 0.35-0.73), p<0.001",41880612,,,,Colorectal Cancer!19,
Colorectal Cancer,,Adjuvant,,,DYNAMIC,Phase 3,adjuvant stage II CRC,ctDNA or standard guidance adjuvant therapy,2-y RFS non-inferior with ctDNA guidance 94 vs 92%; less chemo 15 vs 28% (RR 1.82); 3-y RFS ctDNA+ treated with chemo 86% vs ctDNA-neg untreated 93%,,,,,,,Colorectal Cancer!20,
Colorectal Cancer,,Adjuvant,,,COBRA,Phase 2/3,Resected stage 2 without high risk features,Observation vs ctDNA directed adjuvant (FOLFOX if ctDNA detected),Endpoints: clearance of ctDNA (phase II) and RFS (phase 3),CIRCULATE is a similar trial in Germany; CIRCULATE-US is looking at stage II and III,,,,,,Colorectal Cancer!21,
Colorectal Cancer,,Adjuvant,,,CHALLENGE,,Resected stage III or high risk stage 2,Exercise vs education,"5 year DFS 80 vs 74%, HR 0.72; 8 year OS 90 vs 83%",,,,,,,Colorectal Cancer!22,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,SYNCHRONOUS/CCRe-IV,,Two trials combined for faster reporting; newly diagnosed CRC with synchronous unresectable metastases,Chemo+/- up front resection primary tumour,OS 17 vs 19 mos (NS),Resecting primary tumour if asymptomatic does not seem to prolong OS,,,,,,Colorectal Cancer!27,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,AVEX,Phase 3,Untreated mCRC ≥70 years old; ineligible for oxali/iri,Cape+/-bev,"PFS 9 vs 5 mos, HR 0.53; OS NS",,,,,,,Colorectal Cancer!29,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,CALGB/SWOG 80405,,1st line; KRAS exon 2 wt,FOLFIRI/FOLFOX + bev or cetuximab,RAS wt left sided med OS 39 vs 33 months; bev superior for right sided 29 vs 13 months,,,,,,,Colorectal Cancer!30,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,PARADIGM,,"1st line, RAS wt, left sided as primary subset",FOLFOX with pan or Bev,OS HR 0.82 in left sided; higher ORR and R0 resection rate with pan,Intermittent panitumumab might be better than to progression with less toxicity and better PFS,,,,,,Colorectal Cancer!31,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,CRYSTAL,,1st line,FOLFIRI+/-cetux,In wt RAS subgroup OS was 23.5 vs 20 months,,,,,,,Colorectal Cancer!32,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,TRIBE (and update),Phase 3,Untreated mCRC,FOLFOXIRI-bev vs FOLFIRI-bev,"PFS 12 vs 10 mos, HR 0.75; OS 30 vs 26 mos, HR 0.80; ORR 65 vs 53%; more grade 3/4 diarrhea, neutropenia, infection",,,,,,,Colorectal Cancer!33,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,TRIBE2,,1 or 2nd line mCRC;,FOLFOXIRI-bev vs FOLFOX-bev then FOLFIRI-bev sequence,"PFS2 19.1 vs 16.4 mos, HR 0.74); OS 27.6 vs 22.6 mos, HR 0.81;",,,,,,,Colorectal Cancer!34,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,STEAM,Phase 2,Previously untreated mCRC; n=280,Concurrent or sequential FOLFOXIRI-bev vs FOLFOX-bev,"ORR primary endpoint not met (72 and 73 vs 62%); pooled triplet PFS 11.7 vs 9.5 mo, HR 0.7; concurrent and sequential similar",,"ORR concurrent FOLFOXIRI-bev vs FOLFOX-bev 72.0 vs 62.1%, p=0.132; pooled triplet PFS 11.7 vs 9.5 mo, HR 0.7 (90% CI 0.5-0.9)",30552157,,,,Colorectal Cancer!35,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,TRIPLETE,Phase 3,Untreated mCRC; RAS and BRAF wt,FOLFOX-pani vs FOLFOXIRI-pani,ORR NS (57%); PFS NS (12 mos),Intensifying EGFR doublet with third cytotoxic not apparently helpful,,,,,,Colorectal Cancer!36,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,CAIRO5,Phase 3,Initially unresectable CRLM,FOLFOX/FOLFIRI with bev or panitumumab,"Left sided RAS/BRAF wt subgroup: PFS NS, R0 rate NS",Higher response rate with panitumumab did not translate to better outcomes,,,,,,Colorectal Cancer!37,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,Meta-analysis triplet vs doublet with bev,Meta-analysis,"Unresectable mCRC; IPD from 5 RCTs (CHARTA, OLIVIA, STEAM, TRIBE, TRIBE2), n=1697",FOLFOXIRI-bev vs doublet-bev,"OS 28.9 vs 24.5 mo, HR 0.81 (0.72-0.91); PFS 12.2 vs 9.9 mo, HR 0.74; ORR 65 vs 54%; more grade 3-4 neutropenia and diarrhea",,"OS 28.9 vs 24.5 mo, HR 0.81 (95% CI 0.72-0.91), p<0.001",32816630,,,,Colorectal Cancer!38,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,VOLFI,Phase 2,1st line; RAS wt,FOLFOXIRI+pani,"87% RR; (60% with FOLFOXIRI); trend for OS benefit at 0.67, p=0.12",,,,,,,Colorectal Cancer!39,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,FIRE-3,,1st line,FOLFIRI + bev or cetuximab,RAS wt left sided med OS 38 vs 28 months; bev better for right sided tumors (23 vs 18 mos),,,,,,,Colorectal Cancer!40,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,TASCO1,Phase 2,ineligible for oxali/iri based regimen,Lonsurf-bev vs Cape-bev,PFS NS (9 vs 8 mos); OS NS (22 vs 17.7 mos); different toxicities as expected,,,,,,,Colorectal Cancer!41,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,KEYNOTE-177,Phase 3,1st line dMMR,Pembro vs chemo,"PFS 16.5 vs 8.2 mo; ORR 44 vs 33% but more PD as best response 30 vs 12%; 36-mo OS 61 vs 50%, HR 0.74 (not statistically significant)","OS curves separate well but did not meet criteria for statistical significance; the study did have crossover at 60%; in responding patients, 24-mo DOR - OS immature",,,,,,Colorectal Cancer!42,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,Checkmate-142,Phase 2,dMMR,Nivo-Ipi,ORR 65%; responses durable; 48 mo PFS 53%; 48 mo OS 71%,Suggests combined immunotherapy more powerful than single agent,,,,,,Colorectal Cancer!43,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,Checkmate 8HW,Phase 3,dMMR; 1st line and with previous treatment,Nivo-Ipi vs Nivo vs Chemo,"Nivo-ipi vs nivo: PFS NR vs 39 mos, HR 0.62; grade 3/4 AEs 22% vs 14%",,,,,,,Colorectal Cancer!44,
Colorectal Cancer,,Metastatic,"1st line, inoperable",,COMMIT,,1st line dMMR,Atezolizumab alone vs mFOLFOX6-bevacizumab-atezolizumab (FOLFOX-bev arm closed after 20 pts),"PFS HR 0.439 (0.23-0.84), p=0.0103; ORR 86.1 vs 46%; 12-mo disease control 64.7 vs 32.4%",Three-arm design; chemo-only arm dropped after KEYNOTE-177. Only 102 pts enrolled 2017-2025,"PFS HR 0.439 (95% CI 0.23-0.84), p=0.0103",42525921,,,,Colorectal Cancer!45,
Colorectal Cancer,,Metastatic,Maintenance,,OPTIMOX2,,mCRC after 6 cycles FOLFOX7,Maintenance 5FU/LV vs chemo break,Duration disease control 13 vs 9 mos; PFS 9 vs 7 mos; OS 24 vs 20 mos,Discontinuation of chemotherapy worsened disease control and PFS suggesting against upfront plan for treatment break,,,,,,Colorectal Cancer!48,
Colorectal Cancer,,Metastatic,Maintenance,,CAIRO3,Phase 3,mCRC; post 6 cycles CAPOX-B,Cape-bev maintenance vs observation,"PFS2 12 vs 9 mos, HR 0.67; QOL did not deteriorate during maintenance",,,,,,,Colorectal Cancer!49,
Colorectal Cancer,,Metastatic,Maintenance,,FOCUS4-N,,1st line CRC after 16 weeks chemo,Cape vs monitoring,"PFS 4 vs 2 mos, HR 0.4; OS NS",This is a trial subset including patients without genetic markers so more RAS and BRAF patients,,,,,,Colorectal Cancer!50,
Colorectal Cancer,,Metastatic,"1st line, operable",,EORTC 40983,,No previous oxali; up to 4 liver mets,FOLFOX vs surgery alone,"Similar resection rate; fewer futile laparotomies; more post-op complications with chemo; trend to improved PFS with chemo (38 vs 30%); OS not different (51 vs 48%, NS)",Trial wasn’t powered for OS,,,,,,Colorectal Cancer!53,
Colorectal Cancer,,Metastatic,"1st line, operable",,New EPOC,,KRAS wt; operable metastases,FOLFOX+/-cetuximab,Worse PFS with cetuximab (15.5 vs 22.2 months),Raises concern about anti-EGFR in resectable liver met patients although controversial,,,,,,Colorectal Cancer!54,
Colorectal Cancer,,Metastatic,"1st line, operable",,BECOME,,Liver limited potentially resectable RAS mutant mCRC,FOLFOX+/- bev,R0 resection 22 vs 6%; higher ORR,Bev should be considered in RAS wt potentially resectable patients,,,,,,Colorectal Cancer!55,
Colorectal Cancer,,Metastatic,"1st line, operable",,JCOG0603,,Liver limited mCRC; DFS primary endpoint,Liver resection+/- FOLFOX,Better 3 year DFS with chemo but worse 3 year OS (38 vs 88 months( and 5 year OS worse (70 vs 83%),Improved primary endpoint but no indication this improves OS; similar to EPOC study in lack of OS,,,,,,Colorectal Cancer!56,
Colorectal Cancer,,Metastatic,"1st line, operable",,PRODIGE7,Phase 3,peritoneal mets with PCI<25,Cytoreductive surgery +/- HIPEC,OS NS (41 mos); RFS NS (13/11 mos); 5 year RFS NS,CRS without HIPEC is standard of care when CRS used,,,,,,Colorectal Cancer!57,
Colorectal Cancer,,Metastatic,Later line,Chemotherapy,TML,Phase 3,PD < 3 months after chemo-bev,Chemo+/- bev,PFS 5.7 vs 4.1 months; OS 11.2 vs 9.8 months,,,,,,,Colorectal Cancer!63,
Colorectal Cancer,,Metastatic,Later line,Chemotherapy,PRODIGE 18,,PD after chemo bev; RAS wt,Switch to cetux or cont bev with chemo,Trend better PFS and OS with bev c/w cetux (trial stopped early due to TML results),,,,,,,Colorectal Cancer!64,
Colorectal Cancer,,Metastatic,Later line,Chemotherapy,VELOUR,,PD after FOLFOX-bev,FOLFIRI+/- aflibercept,OS 13.5 vs 12.1 mos; more toxicity than expected with beva,,,,,,,Colorectal Cancer!65,
Colorectal Cancer,,Metastatic,Later line,Chemotherapy,RAISE,,PD after FOLFOX-bev,FOLFIRI+/- ramucirumab,OS 13.3 vs 11.7 mos,,,,,,,Colorectal Cancer!66,
Colorectal Cancer,,Metastatic,Later line,Chemotherapy,RECOURSE,,Late line,Lonsurf vs placebo,OS 7.1 vs 5.3 mos,Benefit irrespective of previous regorafenib,,,,,,Colorectal Cancer!67,
Colorectal Cancer,,Metastatic,Later line,Chemotherapy,SUNLIGHT,,1-2 prior lines CRC,Lonsurf+/-bev,"OS 11 vs 7.5 mos, HR 0.61; 12 mo OS 46 va 30%; PFS 5.6 vs 2.4 mos, HR 0.44;",,,,,,,Colorectal Cancer!68,
Colorectal Cancer,,Metastatic,Later line,Chemotherapy,Pfeiffer lancet onc,Phase 2,post FOLFOX/FOLFIRI/EGFR MAb,Lonsurf +/- bev,"PFS 4.6 vs 2.6 mos, HR 0.45;",Phase 3 ongoing (SUNLIGHT trial - OS press release is positive),,,,,,Colorectal Cancer!69,
Colorectal Cancer,,Metastatic,Later line,Immunotherapy,KEYNOTE-164,Phase 2,dMMR/MSI-H CRC ≥2 or ≥1 prior lines,Pembro,ORR 33%; mDOR NR at 31 mos; med OS 31 mos,,,,,,,Colorectal Cancer!72,
Colorectal Cancer,,Metastatic,Later line,Immunotherapy,Checkmate-142,Phase 2,dMMR CRC - prev treated,Nivo,ORR 31%; med DOR NR,,,,,,,Colorectal Cancer!73,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,Jonker et al,,"post 5FU, oxali, iri",Cetux vs placebo,OS 6.1 vs 4.6 months,In re-analysis benefit limited to KRAS wt,,,,,,Colorectal Cancer!76,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,Van Cutsem et al,,"post 5FU, oxali, iri",Pani vs placebo,PFS benefit (crossover limited OS),In re-analysis benefit limited to KRAS wt,,,,,,Colorectal Cancer!77,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,EPIC,,"post 5FU, oxali, iri; not RAS selected",Irinotecan +/- cetuximab,PFS 4 vs 2.6 months,More activity of combination cetux with iri but more toxicity,,,,,,Colorectal Cancer!78,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,BEACON,,BRAF mut; RAS wt; ≥1 therapy;,Cetux+encorafenib+/-binimetinib vs cetux+irinotecan/FOLFIRI,OS 9 vs 5.4 months favouring targeted therapy; in follow up doublet vs triplet targeted regimen not statistically significantly different but still numerically different,Doublet encorafenib+cetuximab preferred for most patients; note that 15-25% of BRAF mut patients have MSI-H and should be considered for CPIs as first line,,,,,,Colorectal Cancer!79,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,BREAKWATER,,"BRAF mut, 1st line, 3 arm trial; primary endpoint PFS",Cetuximab-encorafenib +/- FOLFOX or FOLFIRI vs investigators choice chemo+/-bev,"PFS 12 vs 7 mos, hr 0.53; OS 30 vs 15 mos; ORR 61 vs 40%",FDA approved and recommended as front line therapy,,,,,,Colorectal Cancer!80,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,CORRECT,,Late line,Regorafenib vs placebo,OS 6.4 vs 5 mos (HR 0.77),Low PR; more disease control,,,,,,Colorectal Cancer!81,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,CONCUR,,"late line, asian",Regorafenib vs placebo,OS 8.8 vs 6.3 mos,,,,,,,Colorectal Cancer!82,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,DESTINY-CRC01,,"≥2 prior lines; Cohort A: HER2 3+ or 2+/ISH+

Cohort B: HER2 2+/FISH- and IHC 1+",Tras-derux,"Cohort A: ORR 45%; DCR 83%; PFS 6.9 mos; OS 16 mos; 10% ILD, 2 fatal

Cohort B/C: PFS 2.1/1.4 mos, OS 7/8 mos",,,,,,,Colorectal Cancer!83,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,HERACLES,Phase 2,KRAS exon 2 wt; HER2 positive,Tras+lap,ORR 30% (and disease stability in additional44% of patients,,,,,,,Colorectal Cancer!84,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,MOUNTAINEER,Phase 2,HER2 amplified and RAS wt mCRC,trastuzumab+tucatinib,"ORR 38%, PFS 8 mos, OS 24 mos",FDA approved,,,,,,Colorectal Cancer!85,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,MOUNTAINEER-02,Phase 3,first line mCRC HER2 amplified and RAS wt mCRC,FOLFOX+/- tras-tucatinib,Ongoing,,,,,,,Colorectal Cancer!86,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,MyPATHWAY,Phase 2,Treatment-refractory HER2-amplified mCRC; n=57,Tras+Pert,ORR 32% (20-45),Although in TAPUR only 14% ORR; DCR 50%,ORR 32% (95% CI 20-45),30857956,,,,Colorectal Cancer!87,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,KRYSTAL-1,Phase 1/2,"Heavily pretreated KRAS G12C-mutant mCRC; n=44 monotherapy, 32 combination",Adagrasib+/-cetuximab,"ORR 19% mono vs 46% with cetuximab; combination DOR 7.6 mo, PFS 6.9 mo; monotherapy PFS 5.6 mo",,ORR 19% (95% CI 8-33) monotherapy; 46% (95% CI 28-66) with cetuximab,36546659,,,,Colorectal Cancer!88,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,KRYSTAL-10,Phase 3,2nd line CRC; KRAS G12C,Adagrasib+cetuximab vs chemotherapy,Ongoing,,,,,,,Colorectal Cancer!89,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,CODEBREAK-101,Phase 2,Phase 2 (26 patients),Sotorasib+panitumumab,ORR 33%,,,,,,,Colorectal Cancer!90,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,CODEBREAK-300,Phase 3,kras g12c,Sotorasib+panitumumab (960mg or 240 mg) Vs rego or lonsurf,PFS 5.6 and 3.9 mos vs 2.2 mos; OS NS;,,,,,,,Colorectal Cancer!91,
Colorectal Cancer,,Metastatic,Later line,Targeted therapy,FRESCO-2,Phase 3,refractory mCRC,Fruquintinib vs placebo,"OS HR 0.66, PFS HR 0.32",,,,,,,Colorectal Cancer!92,
Endometrial and Cervical Cancer,Endometrial,Metastatic,,,GOG 209,Phase 3,noninferiority design; treatment naive stage III; IV; recurrent endomet ca,cisplatin-doxorubicin-paclitaxel (TAP) vs carbo-taxol,ORR NS (51%); PFS NS (13 mos); OS NS (37 vs 40 mos),Established carbo-taxol as standard first line,,,,,https://ascopubs.org/doi/full/10.1200/JCO.20.01076,Endometrial and Cervical Cancer!10,
Endometrial and Cervical Cancer,Endometrial,Metastatic,,,NRG-GY018,,Stage III/IVA/IVB up front or recurrent endometrial cancer,carbo-taxol +/- pembrolizumab,"dMMR 12 mo PFS 74 vs 38%, HR 0.30; 
pMMR PFS 13 vs 9 mos, HR 0.54)",,,,,,,Endometrial and Cervical Cancer!11,
Endometrial and Cervical Cancer,Endometrial,Metastatic,,,RUBY,,Advanced or recurrent endometrial cancer,carbo-taxol +/- dostarlimab,"dMMR 24 mo PFS 61 vs 16%, HR 0.28; 
Overall pop 24 mo PFS 36 vs 18%, HR 0.64; 24 mo OS 71 vs 56%, HR 0.64;",,,,,,,Endometrial and Cervical Cancer!12,
Endometrial and Cervical Cancer,Endometrial,Metastatic,,,LEAP-001,,"Metastatic endometrial, 1st line",Pembro-lenvatinib vs carbo-taxol,Enrolling,,,,,,,Endometrial and Cervical Cancer!13,
Endometrial and Cervical Cancer,Endometrial,Metastatic,,,Fader,,HER2+ endometrial ca,carbo-taxol +/- herceptin,"PFS 12.6 vs 8 mos, HR 0.44; in first line patients PFS was 18 vs 9 mos; in recurrent patients PFS 9 vs 6 mos",,,,,,,Endometrial and Cervical Cancer!14,
Endometrial and Cervical Cancer,Endometrial,Metastatic,,,Study 111/KEYNOTE-146,,"metastatic endometrial cancer, not dMMR/MSI-H",Pembrolizumab-lenvatinib,"ORR 36%, CR 2%, 6 mo DOR ≥ 85% in responders; 4 fatal AEs; HTN, fatigue, diarrhea were common",,,,,,https://ascopubs.org/doi/full/10.1200/JCO.19.02627,Endometrial and Cervical Cancer!15,
Endometrial and Cervical Cancer,Endometrial,Metastatic,,,KEYNOTE-185,Phase 2,Metastatic endometrial cancer; dMMR; >1 line,Pembrolizumab,ORR 48%; DOR NR; PFS 13 mos; OS NR,,,,,,,Endometrial and Cervical Cancer!16,
Endometrial and Cervical Cancer,Endometrial,Metastatic,,,keynote 775/ study 309,,"Metastatic endometrial, >=1 prior line",Pembrolizumab-lenvatinib vs physicians choice (doxorubicin or taxol),"For pMMR population: PFS 6.6 vs 3.8 mos, HR 0.6; OS 17 vs 12 mos, HR 0.68)",,,,,,,Endometrial and Cervical Cancer!17,
Endometrial and Cervical Cancer,Endometrial,Metastatic,,,ENGOT EN3 PALEO,Phase 2,Prev treated EC; ER+,Letrozole+/- palbociclib,"PFS 8 vs 3 mos, HR 0.56",,,,,,,Endometrial and Cervical Cancer!18,
Endometrial and Cervical Cancer,Endometrial,Metastatic,,,Konstantinopoulos,Phase 2,Prev treated EC; ER+,Letrozole/abema,"ORR 30% (all in endometrioid), PFS 9 mos, DOR 7 mos",,,,,,,Endometrial and Cervical Cancer!19,
Endometrial and Cervical Cancer,Cervical,,,,OUTBACK,,Locally advanced cervical cancer treatable with curative intent,Chemoradiation +/- adjuvant chemo,5 year OS NS,,,,,,,Endometrial and Cervical Cancer!22,
Endometrial and Cervical Cancer,Cervical,,,,GOG 240,,"Metastatic, persistent or recurrent cervical carcinoma; chemo randomized to cis-taxol or taxol-topotecan with or without bev",Chemo+/-bev,"OS 17 vs 13 mos, HR 0.77; PFS 8 vs 6 mos, HR 0.68; ORR 49 vs 36%;

better PFS in cis-taxol than tax-topo",,,,,,,Endometrial and Cervical Cancer!23,
Endometrial and Cervical Cancer,Cervical,,,,GOG 204,,Metastatic/advanced cervical cancer,Cis-taxol vs cis-vin or cis-gem or cis-topo,ORR similar; less thrombocytopenia with taxol arm; less feb neut with gem arm,,,,,,,Endometrial and Cervical Cancer!24,
Endometrial and Cervical Cancer,Cervical,,,,KEYNOTE-158,Phase 2,Phase 2 basket study; cervical cancer subgroup,Pembrolizumab,ORR 12% (all in PDL1+ patients)M. mDOR not reached;,,,,,,,Endometrial and Cervical Cancer!25,
Endometrial and Cervical Cancer,Cervical,,,,KEYNOTE 826,,1st line metastatic cervical cancer,Cis-taxol (with or without bev) +/-pembrolizumab,PFS 10.4 vs 8.2 mos (HR 0.62); similar in PDL>1 and PDL1>10; 24 mo OS 53 vs 42% (0.64),,,,,,,Endometrial and Cervical Cancer!26,
Endometrial and Cervical Cancer,Cervical,,,,InnovaTV 204,,basket including cervical cancer,Tisotumab vedotin,ORR 24%; DOR 4.2 mos; 6 mo PFS 29%;,ADC targeting tissue factor,,,,,,Endometrial and Cervical Cancer!27,
Endometrial and Cervical Cancer,Cervical,,,,ENGOT-Cx8/GOG-3024/innovaTV 205,,No previous therapy or post 1-3 lines,Carbo+tiso-vedotin if 1st line; tiso+pembro if ≥1 line,55% response in 1st line and 38% response in >1st line,,,,,,,Endometrial and Cervical Cancer!28,
Endometrial and Cervical Cancer,Cervical,,,,EMPOWER-cervical,,2nd line cervical cancer,Cemiplimab vs single agent chemo,"OS 12 vs 8.5 mos, HR 0.69;",Both PDL1 positive and negative saw benefit,,,,,,Endometrial and Cervical Cancer!29,
Endometrial and Cervical Cancer,Cervical,,,,O’Malley (abstract),,2nd line cervical cancer,Balstilimab/zalifrelimab,"ORR 22%, CR 6%",PD1/CTLA4,,,,,,Endometrial and Cervical Cancer!30,
